Process Type,Scheduler Type,Iterations,Num Simultaneous Processes,Wall,User,System,CPU,I-Switched,V-switched
CPU BOUND,SCHED_FIFO,100000000,5,14.96,37.51,0,250%,13,10
CPU BOUND,SCHED_FIFO,100000000,5,15.56,39,0.02,250%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.44,38.87,0.02,251%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.56,39.45,0,253%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.35,39.02,0.05,254%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.43,38.92,0,252%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.64,39.27,0.01,251%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.38,39.47,0,256%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.19,38.69,0.02,254%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.35,38.99,0.09,254%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.34,38.88,0,253%,31,10
CPU BOUND,SCHED_FIFO,100000000,5,15.15,38.49,0.05,254%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.65,38.95,0.01,249%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.28,38.97,0.02,255%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.54,39.63,0,254%,28,10
CPU BOUND,SCHED_FIFO,100000000,5,15.16,38.16,0.02,251%,17,10
CPU BOUND,SCHED_FIFO,100000000,5,15.96,39.86,0,249%,22,10
CPU BOUND,SCHED_FIFO,100000000,5,15.25,38.35,0,251%,17,10
CPU BOUND,SCHED_FIFO,100000000,5,15,38.09,0,253%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.1,38.33,0.03,254%,29,10
CPU BOUND,SCHED_FIFO,100000000,5,15.07,38.33,0.02,254%,25,10
CPU BOUND,SCHED_FIFO,100000000,5,14.73,37.16,0.03,252%,18,10
CPU BOUND,SCHED_FIFO,100000000,5,14.95,37.9,0.01,253%,28,10
CPU BOUND,SCHED_FIFO,100000000,5,15.22,38.13,0,250%,18,10
